video_id,video_label,text,published_at,like_count
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"I don’t see that 2 GOATs, Only 1 🐐",2025-06-27T13:04:27Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,❤❤❤❤❤😊😄👍,2025-06-27T05:51:08Z,1
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,is she a Latina? she doesnt looked black at all,2025-06-22T04:25:18Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,The hurdles are too low.,2025-06-20T21:00:41Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"I don't know why people thinks its a rivalry, to be rivals who wins has to change hands sometimes, Femke has never beaten Sydney. It wasn't even close and the commentator says if femke wasn't in the race Sydney wouldn't have run that fast 😅😅 femke was 10-15 meters behind in 3rd place, and barely got that.",2025-05-27T20:29:07Z,2
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,This world record is awesome and by the very nature athletic records are made to be broken.  I salute Sydney McLaughlin-Levrone for this feat and it's inspirational to watch this video.,2025-05-22T16:16:38Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,I was cheering for McLaughlin but felt so bad for Femke😕,2025-05-17T04:00:48Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Nothing suspicious about her or her coach  👀,2025-05-14T21:36:06Z,1
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"Sydney is aided by a splice of male genes.  Only 5%, but that’s enough.",2025-05-11T23:05:13Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Chaddd,2025-05-05T17:21:50Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,I Love you❤ USA,2025-04-15T13:19:20Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,She’s a cheetah she ain’t human,2025-04-13T20:36:45Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,She's in an entirely different world.,2025-04-09T19:44:17Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Greatness!!,2025-04-01T18:56:50Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,And people were actually thinking that Bol was going to be close.  Nope.  McLaughlin is all by herself in the sport.,2025-03-29T01:31:16Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Sydney is the greatest-Bol a great 2nd.,2025-03-21T12:31:37Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,They really tried to pump up Bol... Like really now that's Sydney we talking about,2025-03-21T11:49:28Z,3
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"Am I the only one tired of yt hype? I have to admit I was fooled by Femke Bol, too, the way the media hyped her. I really thought she would challenge Sydney and create some excitement, but instead was blown away. Abby Steiner anyone?",2025-03-19T04:18:37Z,4
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,You could see Bol looking at Sydney pull away on that 8th hurdle and her losing all confidence in herself. Could have been worse than bronze there.,2025-03-16T12:57:58Z,2
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,This was Sydney saying “stop putting us in the same league” 😂,2025-03-08T07:50:56Z,8
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,coach dope,2025-03-08T04:33:45Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"""Bol tends to come through in the second half of the race"". Whereas Sydney...what?",2025-03-03T05:57:36Z,2
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,What a stupid racist innuendo..if Bol wasn't present Sidney &Cockrell wouldn't have run that fast.. GTFOH Make u make sense,2025-02-28T23:43:05Z,2
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,It's so satisfying when the commentators are pulling for Bol .. not giving me Americans a chance & she winds up third... still focusing on her instead of Cockrell or Sydney at the finish.,2025-02-28T23:38:54Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,"Boi beating all those wast of time European thinking she is the best,she got her ads handed to her she did not even come second .",2025-02-27T01:37:00Z,0
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,Bol overrated 😂😂😂,2025-02-27T01:35:05Z,1
V3aeiR7plQw,Sydney McLaughlin-Levrone 👑 - Women's 400m hurdles Olympic champion! | #Paris2024 Highlights,They are all not in her level. SML ❤,2025-02-26T14:10:39Z,3
